item,category
BLOCO DE NOTAS AMARELO SOL 76X76MM POST-IT 3M 90 FOLHAS,papelaria
CANETA ESFEROGRAFICA LINER AZUL 0.7MM STABILO UNIDADE,papelaria
ENVELOPE BRANCO 90G 229X324MM FORONI 10UN,papelaria
CARTUCHO DE TINTA PARA IMPRESSORA 122 PRETO HP,papelaria
PINCEL ESCOLAR REDONDO PIRCTORE TIGRE N4,papelaria
CADERNO ALL GREEN A5 CADERNO INTELIGENTE 80 FOLHAS,papelaria
CADERNO DARK BLUE GRANDE CADERNO INTELIGENTE 80 FOLHAS,papelaria
PAPEL SULFITE CHAMEX A4 75G COR BRANCA PACOTE 300 FOLHAS,papelaria
KIT SACO PARA PRESENTE CROMUS ROMANTICA 35X54CM,papelaria
CARTUCHO DE TINTA ADVANTAGE ORIGINAL NO667 TRICOLOR HP,NaN
CADERNO UNIVERSITARIO CAPA DURA 1M NEON PRETO TILIBRA 80 FOLHAS,papelaria
COLA BRANCA ESCOLAR BIC 40G,papelaria
SACOLA PARA PRESENTE HORIZONTAL PARDO 28X38X12CM CROMUS 1UN,papelaria
PAPEL SULFITE CHAMEX A4 75G COR BRANCA PACOTE 300 FOLHAS,papelaria
LIVRO CARTAO E CANETA RECEITA DE AMOR IMAGINARIUM,papelaria
LIVRO CARTAO E CANETA RECEITA DE AMOR IMAGINARIUM,NaN
SACO DE PRESENTE COM LACO 35X60 1UN,papelaria
SACO DE PRESENTE COM LACO 50X70 1UN,papelaria
BOLSO TRASEIRO PARA ARMAZENAMENTO DE CARTAO DAISO,NaN
PAPEL DE PRESENTE 60X90 USE UTIL 100UN,papelaria
ENVELOPE BOLHA PAPEL KRAFT COM BOLSO INTERNO PARA DOCUMENTOS 250X350MM RADEX UN,papelaria
ESTOJO ESCOLAR REF.02,papelaria
CADERNO UNIVERSITARIO IRMA DELIVERY FORONI 96 FOLHAS,papelaria
PAPEL SULFITE CHAMEX A4 75G COR BRANCA PACOTE 300 FOLHAS,papelaria
SACO PARA PRESENTE CASUAL CORES SORTIDAS CROMUS 45X59CM,papelaria
PALETA AQUARELA ACQUERELLI COM 24 CORES GIOTTO UN,papelaria
KIT SACO PARA PRESENTE FEMININO SORTIDAS 20X29CM CROMUS 1UN,papelaria
"SACOLA DE PAPEL DEGRADE LILAS TAMANHO M 26X19,5X9,5 CROMUS",papelaria
MASSINHA DE MODELAR MAGIX 6 CORES 90G,papelaria
FOLHA DE PAPEL PARA PRESENTE DAISO UN,papelaria
"FITA METRICA COM PUNHO DE BORRACHA 3,5M X 16MM COLORS M DAISO",NaN
CADERNO CAPA DURA 10 MATERIA CAPRICHO TILIBRA 160 FOLHAS,papelaria
CARTUCHO DE TINTA HP 662 PRETO - CZ103AB,papelaria
SUPER COLA TEK BOND 5GR,papelaria
"LAPISEIRA SHARP VERMELHA 0,5MM PENTEL 1 UNIDADE",papelaria
CANETA HIDROGRAFICA INTENSITY PONTA PINCEL BIC 10 CORES,papelaria
CARTUCHO DE TINTA HP PRETO 667 120 PAGINAS,papelaria
CADERNO UNIVERSITARIO CAPA DURA 1M NEON PRETO TILIBRA 80 FOLHAS,papelaria
KIT PARA PRESENTE FROZEN 25X37CM CROMUS UN,papelaria
CADERNO SEM PAUTA COSTURADO CAPA DURA FITTO G SOHO TILIBRA 80 FOLHAS,papelaria
FOLHAS SEM PAUTA A5 CADERNO INTELIGENTE REFIL COM 50 FOLHAS,papelaria
PAPEL PRESENTE PERSONAGENS TILIBRA 70X100 CM 1UN,papelaria
SUPER COLA TEK BOND 5GR,papelaria
CADERNO ESPIRAL CAPA DURA UNIVERSITARIO 1 MATERIA ZIP PRETO 80 FOLHAS,papelaria
SUPER COLA TEK BOND 5GR,papelaria
BLOCO NOTAS 3M POST-IT AMARELO 45 FOLHAS,NaN
GARRAFA DE TINTA ORIGINAL GT53 COR PRETA 1VV22AL HP 90ML,papelaria
CADERNO UNIVERSITARIO ESPIRAL JANDAIA DISNEY SWEETIE 1 MATERIA 96 FOLHAS,papelaria
CARTUCHO DE TINTA HP PRETO 667 120 PAGINAS,papelaria
SACOLA PARA PRESENTE HORIZONTAL PARDO 28X38X12CM CROMUS 1UN,papelaria
CARTUCHO DE TINTA HP 662 PRETO - CZ103AB,papelaria
PASTA ABA ELASTICO OFICIO CRISTAL 335X245MM DORSO 55MM PLASCONY 1 UN,papelaria
